"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Total time (%)","Max time (ms)","Last change","Prevent Suspend Time"
"call_pcm_dump_wake_lock","0","0","0","0","0","0","0","0","1809","0"
"scp wakelock","0","0","0","0","0","0","0","0","1806","0"
"ccci3_poll  ","0","0","0","0","0","0","0","0","1541","0"
"ccci3_ctrl  ","3","5","0","3","0","0","0","0","36570","0"
"ccci3_lb_dl ","0","0","0","0","0","0","0","0","1540","0"
"ccci3_at4   ","3","6","0","3","0","0","0","0","37580","0"
"ccci3_at3   ","2","5","0","2","0","0","0","0","36570","0"
"ccci3_at2   ","3","7","0","3","0","0","0","0","38310","0"
"ccci3_at    ","338","560","0","337","0","0","0","0","2892002","0"
"ccci3_data  ","0","0","0","0","0","0","0","0","1540","0"
"ccci3_lb_it ","0","0","0","0","0","0","0","0","1540","0"
"ccci3_it    ","0","0","0","0","0","0","0","0","1540","0"
"ccci3_ioctl4","0","0","0","0","0","0","0","0","1540","0"
"ccci3_ioctl3","0","0","0","0","0","0","0","0","1540","0"
"ccci3_ioctl2","0","0","0","0","0","0","0","0","1540","0"
"ccci3_ioctl1","0","0","0","0","0","0","0","0","1540","0"
"ccci3_ioctl0","0","0","0","0","0","0","0","0","1540","0"
"ccci3_tty1  ","0","0","0","0","0","0","0","0","1540","0"
"ccci3_tty2  ","1","3","0","1","0","0","0","0","17790","0"
"ccci3_fs    ","4","475","0","4","0","0","0","0","36590","0"
"ccci3_md_log_ctrl","3","4","0","3","0","0","0","0","37750","0"
"ccci3_aud   ","2","3","0","2","0","0","0","0","15890","0"
"ccci3_monitor","2","3","0","2","0","0","0","0","12210","0"
"cc3mni2     ","0","0","0","0","0","0","0","0","1540","0"
"cc3mni1     ","0","0","0","0","0","0","0","0","1540","0"
"ccmni_md3   ","0","0","0","0","0","0","0","0","1540","0"
"cc3mni0     ","0","0","0","0","0","0","0","0","1536","0"
"md3_ccif_trm","0","0","0","0","0","0","0","0","1536","0"
"md1_wakelock","1","1","0","1","0","0","0","0","21240","0"
"ccci_raw_usb","0","0","0","0","0","0","0","0","1533","0"
"ccci_raw_netd","0","0","0","0","0","0","0","0","1532","0"
"ccci_raw_dhl","0","0","0","0","0","0","0","0","1532","0"
"ccci_ccb_dhl","0","0","0","0","0","0","0","0","1532","0"
"ccci_raw_dbm","0","0","0","0","0","0","0","0","1532","0"
"ccci_poll   ","0","0","0","0","0","0","0","0","1532","0"
"ccci_sys    ","1","1","0","1","0","0","0","0","13010","0"
"ccci_ctrl   ","1","2","0","1","0","0","0","0","12990","0"
"ccci_ipc_8  ","0","0","0","0","0","0","0","0","1532","0"
"ccci_ipc_7  ","0","0","0","0","0","0","0","0","1532","0"
"ccci_ipc_6  ","0","0","0","0","0","0","0","0","1532","0"
"ccci_ipc_5  ","0","0","0","0","0","0","0","0","1532","0"
"ccci_ipc_4  ","0","0","0","0","0","0","0","0","1532","0"
"ccci_ipc_3  ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ipc_2  ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ipc_1220_0","0","0","0","0","0","0","0","0","1530","0"
"ccci_rpc_k  ","2","53","0","2","0","0","0","0","22020","0"
"ccci_rpc    ","0","0","0","0","0","0","0","0","1530","0"
"ccci_mdl_monitor","0","0","0","0","0","0","0","0","1530","0"
"ccci_lb_it  ","0","0","0","0","0","0","0","0","1530","0"
"ccci_it     ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ioctl4 ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ioctl3 ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ioctl2 ","0","0","0","0","0","0","0","0","1530","0"
"ccci_ioctl1 ","0","0","0","0","0","0","0","0","1529","0"
"ccci_ioctl0 ","0","0","0","0","0","0","0","0","1529","0"
"ccci_imsdc  ","0","0","0","0","0","0","0","0","1529","0"
"ccci_imsa   ","0","0","0","0","0","0","0","0","1529","0"
"ccci_imsc   ","1","6","0","1","0","0","0","0","39110","0"
"ccci_imsv   ","0","0","0","0","0","0","0","0","1529","0"
"ttyC1       ","0","0","0","0","0","0","0","0","1529","0"
"ttyC3       ","0","0","0","0","0","0","0","0","1529","0"
"ttyC2       ","6","6","0","6","0","0","0","0","2744200","0"
"ccci_fs     ","4","2174","0","4","0","0","0","0","38060","0"
"ttyC0       ","12","398","0","12","0","0","0","0","1723230","0"
"ccci_md_log_ctrl","1","3","0","1","0","0","0","0","13020","0"
"ccci_aud    ","1","4","0","1","0","0","0","0","15770","0"
"ccci_monitor","2","3","0","2","0","0","0","0","12990","0"
"ccmni-lan   ","0","0","0","0","0","0","0","0","1529","0"
"ccmni7      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni6      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni5      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni4      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni3      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni2      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni1      ","0","0","0","0","0","0","0","0","1529","0"
"ccmni_md1   ","0","0","0","0","0","0","0","0","1529","0"
"ccmni0      ","0","0","0","0","0","0","0","0","1524","0"
"md1_cldma_peer","0","0","0","0","0","0","0","0","1403","0"
"md1_cldma_trm","0","0","0","0","0","0","0","0","1403","0"
"md1_wakelock","1","1","0","1","0","0","0","0","22000","0"
"dpe_lock_wakelock","0","0","0","0","0","0","0","0","1325","0"
"isp_lock_wakelock","0","0","0","0","0","0","0","0","1317","0"
"soc:typec_common@0","0","0","0","0","0","0","0","0","1257","0"
"USB.lock    ","4","4","0","0","1","2","0","1","1722750","0"
"mt-rtc      ","1","1","0","0","0","0","0","0","36904","0"
"rawbulk-ets ","0","0","0","0","0","0","0","0","1214","0"
"rawbulk-dummy2","0","0","0","0","0","0","0","0","1213","0"
"rawbulk-dummy1","0","0","0","0","0","0","0","0","1212","0"
"rawbulk-gps ","0","0","0","0","0","0","0","0","1211","0"
"rawbulk-at  ","0","0","0","0","0","0","0","0","1209","0"
"rawbulk-dummy0","0","0","0","0","0","0","0","0","1208","0"
"rawbulk-modem","0","0","0","0","0","0","0","0","1207","0"
"rawbulk-pcv ","0","0","0","0","0","0","0","0","1206","0"
"accdet timer wakelock","0","0","0","0","0","0","0","0","1194","0"
"accdet key wakelock","0","0","0","0","0","0","0","0","1194","0"
"accdet irq wakelock","1","1","0","0","0","0","0","0","1204","0"
"accdet wakelock","0","0","0","0","0","0","0","0","1194","0"
"leds wakelock","0","0","0","0","0","0","0","0","1185","0"
"alarmtimer  ","0","0","0","0","0","0","0","0","1034","0"
"pmicAuxadc irq wakelock","3620","3629","0","0","0","0","0","0","2891991","0"
"dlpt_notify_lock wakelock","287","287","0","0","0","0","0","0","2891970","0"
"bat_percent_notify_lock wakelock","288","288","0","0","0","0","0","0","2890920","0"
"pmicThread_lock_mt6328 wakelock","6","6","0","0","0","0","0","0","1722751","0"
"EINT wakelock","27","86","0","27","0","0","0","0","1722250","0"
"autosleep   ","0","0","0","0","0","0","0","0","220","0"
